System,Title,FW,LTD,Publisher,Release Date
PSP,-8,1.914,1.914,Idea Factory,23/01/2014
PSV,&: Sora no Mukou de Saki Masuyou ni,1.138,1.138,5pb.,26/12/2013
PS4,(Warner the Best) Mad Max,,28.432,Warner Entertainment Japan,3/11/2016
PS2,.hack//Fragment,8.916,8.916,Bandai,23/11/2005
PS4,.hack//G.U. Last Recode,44.33,68.65,Bandai Namco,1/11/2017
PS2,.hack//G.U. Vol.1//Rebirth,76.395,162.047,Bandai Namco,18/05/2006
PS2,.hack//G.U. Vol.1//Rebirth [All Versions],76.395,164.639,Bandai Namco,18/05/2006
PS2,.hack//G.U. Vol.1//Rebirth [Welcome Price!],2.592,2.592,Bandai Namco,18/01/2007
PS2,.hack//G.U. Vol.2//Reminisce,101.156,177.074,Bandai Namco,28/09/2006
PS2,.hack//G.U. Vol.3//Redemption,123.676,168.562,Bandai Namco,18/01/2007
PS2,.hack//Infection Part 1,99.346,254.844,Bandai,20/06/2002
PSP,.hack//Link,68.768,104.868,Bandai Namco,4/3/2010
PS2,.hack//Mutation Part 2,121.484,191.463,Bandai,19/09/2002
PS2,.hack//Outbreak Part 3,97.809,163.01,Bandai,12/12/2002
PS2,.hack//Quarantine Part 4,86.049,119.881,Bandai,10/4/2003
PS3,.hack: Sekai no Mukou ni + Versus - Hybrid Pack,16.664,23.53,Bandai Namco,28/06/2012
PS3,007: Blood Stone,,10.418,Square Enix,13/01/2011
PS2,007: Everything or Nothing,37.246,71.373,Electronic Arts,11/2/2004
NGC,007: Everything or Nothing,6.959,19.432,Electronic Arts,11/2/2004
PS2,007: From Russia with Love,,23.747,Electronic Arts,2/3/2006
PS2,007: Nightfire,33.84,111.256,Electronic Arts,30/01/2003
PS3,007: Quantum of Solace,5.6,13.415,Square Enix,26/03/2009
WII,007: Quantum of Solace,1.1,6.437,Square Enix,26/03/2009
PS2,007: Quantum of Solace,1.1,5.547,Square Enix,26/03/2009
360,007: Quantum of Solace,2.3,4.99,Square Enix,26/03/2009
PS1,007: Tomorrow Never Dies,9.953,9.953,Electronic Arts,10/2/2000
PSP,0-ji no Kane to Cinderella: Halloween Wedding,2.696,4.756,QuinRose,23/05/2013
SWI,1 2 Switch,82.392,468.683,Nintendo,3/3/2017
PS1,1 on 1,22.445,30.393,Jorudan,26/11/1998
PSP,1/2 Summer+,4.985,8.788,Kaga Create,18/07/2013
NDS,100 Kiri Golf DS,1.7,12.614,GungHo Works,23/10/2008
3DS,100% Pascal Sensei: Kanpeki Paint Bom,5.763,7.616,Konami,13/07/2017
NGC,1080 Avalanche,7.908,19.417,Nintendo,22/01/2004
N64,1080: Snowboarding,14.776,23.908,Nintendo,28/02/1998
PSP,11Eyes: CrossOver,10.15,14.502,5pb.,28/01/2010
360,11Eyes: CrossOver,10.022,13.582,5pb.,2/4/2009
PS2,120-en no Haru: 120 Stories,6.518,6.518,Interchannel,24/02/2005
PSP,12-Ji no Kane to Cinderella: Halloween Wedding,4.486,6.69,QuinRose,23/02/2012
PS2,12Riven: The ?Climinal of Integral,10.541,13.144,CyberFront,13/03/2008
PSP,12Riven: The ?Climinal of Integral,2.2,4.745,CyberFront,16/04/2009
3DS,12-Sai. Honto no Kimochi,16.256,30.094,Happinet,18/12/2014
3DS,12-Sai. Koisuru Diary,14.578,28.557,Happinet,4/8/2016
3DS,12-Sai. Torokeru Puzzle Futari no Harmony,5.444,5.444,Happinet,26/10/2017
PS4,13 Sentinels: Aegis Rim - Prologue,5.345,5.345,Atlus,14/03/2019
NDS,13-Sai no Hello Work DS,1.2,1.2,Digital Works Entertainment,29/05/2008
NDS,1500DS Spirits Vol.1: Mahjong,2.368,28.571,Tasuke,9/8/2007
NDS,1500DS Spirits Vol.2: Shogi,1.754,1.754,Tasuke,9/8/2007
NDS,1500DS Spirits Vol.3: Block Kuzushi,1.087,1.087,Tasuke,9/8/2007
NDS,1500DS Spirits Vol.5: Hanafuda,1.667,1.667,Tasuke,9/8/2007
NDS,1500DS Spirits: Mahjong V,,26.949,Tasuke,3/12/2009
NDS,1500DS Spirits: Shogi V,,13.821,Tasuke,3/12/2009
DC,18 Wheeler,5.574,5.574,SEGA,12/10/2000
SAT,2 Degrees Sandor: LE,19.456,33.289,CSK Research Institute,5/4/1996
PS2,2000 Koushien,9.46,17.965,Magical,10/8/2000
PS2,2001 Professional Baseball,8.189,8.189,Magical,16/08/2001
PS2,2002 FIFA World Cup,24.21,143.122,Electronic Arts,2/5/2002
XBX,2002 FIFA World Cup,,10.485,Electronic Arts Square,2/5/2002
PS2,2006 FIFA World Cup: Germany,,45.035,Electronic Arts,27/04/2006
360,2006 FIFA World Cup: Germany,1.536,10.14,Electronic Arts,27/04/2006
PSP,2006 FIFA World Cup: Germany,,7.24,Electronic Arts,1/6/2006
PS3,2010 FIFA World Cup: South Africa,12.555,41.989,Electronic Arts,13/05/2010
PSP,2010 FIFA World Cup: South Africa,2.559,13.172,Electronic Arts,13/05/2010
WII,2010 FIFA World Cup: South Africa,1.3,7.898,Electronic Arts,13/05/2010
360,2010 FIFA World Cup: South Africa,2.42,6.192,Electronic Arts,13/05/2010
PSP,24-ji no Kane to Cinderella: Halloween Wedding,2.637,4.105,QuinRose,20/09/2012
PS1,2Extreme,26.429,87.308,SCE,11/4/1997
GB,2nd Super Robot Wars G,39.391,57.163,Banpresto,30/06/1995
PS3,2nd Super Robot Wars OG,206.417,276.246,Bandai Namco,29/11/2012
PSP,2nd Super Robot Wars Z: Hakai-hen,280.896,412.582,Bandai Namco,14/04/2011
PSP,2nd Super Robot Wars Z: Saisei-hen,246.114,320.636,Bandai Namco,5/4/2012
PS2,2nd Super Robot Wars ?,330.559,511.517,Banpresto,27/03/2003
PS3,3D Dot Game Heroes,11.854,22.536,From Software,5/11/2009
PS1,3D Fight Maker,37.692,55.565,ASCII,30/07/1998
PS2,3D Fight Maker 2,7.612,7.612,Enterbrain,29/08/2002
PS2,3LDK: Shiawase ni Narouyo,6.194,6.194,Princess Soft,1/7/2004
PS2,3-Nen B-Gumi Kinpachi Sensei: Densetsu no Kyoudan ni Tate!,24.03,61.68,Chunsoft,24/06/2004
PS3,3rd Super Robot Wars Z: Jigoku-hen,158.41,215.226,Bandai Namco,10/4/2014
PSV,3rd Super Robot Wars Z: Jigoku-hen,125.048,181.692,Bandai Namco,10/4/2014
PS3,3rd Super Robot Wars Z: Tengoku-hen,105.072,148.32,Bandai Namco,2/4/2015
PSV,3rd Super Robot Wars Z: Tengoku-hen,98.624,141.497,Bandai Namco,2/4/2015
PS2,3rd Super Robot Wars ?: Shuuen no Ginga e,463.507,603.257,Banpresto,28/07/2005
PS1,3x3 Eyes: Kyuusei Koushu,,106.923,Xing Entertainment,11/8/1995
SAT,3x3 Eyes: Kyuusei Koushu,15.741,15.741,Nippon Create,19/04/1996
PS1,3x3 Eyes: Tenrinou Genmu,,21.09,King Records,6/8/1998
FC,4 Nin uchi Mahjong,,1.450.000,Nintendo,2/12/1984
PS4,428: Shibuya Scramble,2.007,2.007,Spike Chunsoft,6/9/2018
WII,428: The World Doesn't Change Even So,34.006,64.557,SEGA,4/12/2008
PS3,428: The World Doesn't Change Even So,17.111,34.547,Spike,3/9/2009
PSP,428: The World Doesn't Change Even So,15.932,33.216,Spike,17/09/2009
WII,428: The World Doesn't Change Even So [All Versions],34.006,85.579,SEGA,4/12/2008
PSP,428: The World Doesn't Change Even So [All Versions],15.932,38.328,Spike,17/09/2009
PSP,428: The World Doesn't Change Even So [Spike the Best],,5.112,Spike,2/12/2010
WII,428: The World Doesn't Change Even So [Wii Select],3.4,21.022,SEGA,25/02/2010
SFC,4th Super Robot Wars,192.158,361.865,Banpresto,17/03/1995
PS1,4th Super Robot Wars S,148.504,347.865,Banpresto,26/01/1996
PS1,4th Super Robot Wars S [All Versions],148.504,374.129,Banpresto,26/01/1996
PS1,4th Super Robot Wars S [PlayStation the Best],14.761,26.264,Banpresto,29/11/1996
PS3,50 Cent: Blood on the Sand,3,6.792,Bethesda Softworks,23/07/2009
360,50 Cent: Blood on the Sand,1.259,4.192,Bethesda Softworks,23/07/2009
NDS,5-Kyuu kara 1-Kyuu Zenkyuu Taiou: Saishin Kakomondai - 2-Ji Shiken Taisaku - Eiken Kanzenhan,,8.189,IE Institute,26/11/2009
N64,64 de Hakken!! Tamagotchi Minna de Tamagotchi World,34.331,73.384,Bandai,19/12/1997
N64,64 Oozumou,7.631,7.631,Bottom Up,28/11/1997
PS2,7: Molmorth no Kiheitai,27.945,87.404,Namco,21/12/2000
NDS,700-Banjin no Atama o Yokusuru: Chou Keisan DS - 13000-Mon + Image Keisan,,7.096,IE Institute,12/3/2009
PSP,77: Beyond the Milky Way,5.746,10.91,GN Software,22/12/2010
PSV,7'scarlet,3.49,3.49,Idea Factory,21/07/2016
NDS,7th Dragon,81.536,137.857,SEGA,5/3/2009
NDS,7th Dragon [All Versions],81.536,141.755,SEGA,5/3/2009
NDS,7th Dragon [Reprint],500,3.898,SEGA,11/3/2010
PSP,7th Dragon 2020,113.568,168.627,SEGA,23/11/2011
PSP,7th Dragon 2020 [All Versions],113.568,177.014,SEGA,23/11/2011
PSP,7th Dragon 2020 [PSP the Best],674,8.387,SEGA,13/12/2012
PSP,7th Dragon 2020-II,76.949,115.337,SEGA,18/04/2013
3DS,7th Dragon III Code: VFD,72.411,102.37,SEGA,15/10/2015
SFC,90 Minutes: European Prime Goal,62.112,125.509,Namco,4/8/1995
PS1,98 Koushien,23.08,238.295,Magical,18/06/1998
PS1,99 Koushien,14.039,61.24,Magical,17/06/1999
NDS,99 Tears,7.838,32.378,Bandai Namco,5/6/2008
NDS,"999: 9 Hours, 9 Persons, 9 Doors",16.967,39.653,Spike,10/12/2009
NDS,"999: 9 Hours, 9 Persons, 9 Doors [All Versions]",16.967,44.367,Spike,10/12/2009
NDS,"999: 9 Hours, 9 Persons, 9 Doors [Chun Selection]",,4.714,Chunsoft,15/12/2011
NDS,A Penguin's Troubles X: 7 Warriors of the Sky,56.151,179.854,Konami,23/07/2009
NDS,A Penguin's Troubles X: 7 Warriors of the Sky [All Versions],56.151,184.741,Konami,23/07/2009
NDS,A Penguin's Troubles X: 7 Warriors of the Sky [Best Selection],,4.887,Konami,25/11/2010
NDS,A Penguin's Troubles: Strongest Penguin Legend!,58.065,287.502,Konami,11/12/2008
3DS,A Penguin's Troubles: The Wars,,48.166,Konami,15/12/2011
NDS,A Penguin's Troubles: The World,16.986,109.721,Konami,2/12/2010
PS2,A Visual Mix: Ayumi Hamasaki Dome Tour 2001,22.913,30.218,Avex Distribution,13/12/2001
NDS,A Witch's Tale: Apprentice Witch and 7 Princesses,4.355,8.543,Nippon Ichi Software,28/05/2009
PS2,Aa! Megami-sama!,6.533,6.533,Marvelous Interactive,22/02/2007
PS2,Abarenbou Princess,12.358,12.358,Kadokawa Shoten,29/11/2001
NDS,Ace Attorney Investigations: Miles Edgeworth,201.817,310.028,Capcom,28/05/2009
NDS,Ace Attorney Investigations: Miles Edgeworth [All Versions],201.817,357.122,Capcom,28/05/2009
NDS,Ace Attorney Investigations: Miles Edgeworth 2,134.76,219.682,Capcom,3/2/2011
NDS,Ace Attorney Investigations: Miles Edgeworth 2 [All Versions],134.76,274.995,Capcom,3/2/2011
PS1,Ace Combat,246.134,592.296,Namco,30/06/1995
PS2,Ace Combat 04: Shattered Skies,217.501,360.103,Namco,13/09/2001
PS2,Ace Combat 04: Shattered Skies [All Versions],217.501,367.227,Namco,13/09/2001
PS1,Ace Combat 2,232.922,506.841,Namco,30/05/1997
PS1,Ace Combat 3: Electrosphere,241.215,395.216,Namco,27/05/1999
PS2,Ace Combat 5: The Unsung War,172.866,294.547,Namco,21/10/2004
PS2,Ace Combat 5: The Unsung War [All Versions],172.866,358.255,Namco,21/10/2004
360,Ace Combat 6: Fires of Liberation [All Versions],66.579,244.149,Bandai Namco,1/11/2007
PS4,Ace Combat 7: Skies Unknown,158.968,293.561,Bandai Namco,7/11/2019
PSP,Ace Combat X: Skies of Deception [All Versions],52.312,216.601,Bandai Namco,26/10/2006
PS2,Ace Combat Zero: The Belkan War,117.39,202.041,Namco,23/03/2006
PS2,Ace Combat Zero: The Belkan War [All Versions],117.39,279.109,Namco,23/03/2006
360,Ace Combat: Assault Horizon,14.849,18.959,Bandai Namco,13/10/2011
SFC,ActRaiser,,400,Enix,16/12/1990
PS2,ADK Soul,2.1,2.1,SNK,18/12/2008
FC,Adventure Island,,1.050.000,Hudson Soft,12/9/1986
PSP,AI Shogi,1.401,1.401,Marvelous Interactive,20/01/2005
3DS,Aikatsu! Futari no My Princess,53.866,260.371,Bandai Namco,21/11/2013
360,Akai Katana,6.222,8.467,Cave,26/05/2011
360,Akai Katana [All Versions],6.222,8.467,Cave,26/05/2011
360,Akatsuki no Amaneka to Aoi Kyojin: Pashiate Bunmei Kenkyuukai Koubou-ki,2.605,6.956,CyberFront,11/3/2010
PSP,AKB1/149: Love Election,146.661,226.947,Bandai Namco,20/12/2012
PSV,AKB1/149: Love Election,29.943,53.745,Bandai Namco,20/12/2012
PS3,AKB1/149: Love Election,18.561,35.089,Bandai Namco,12/9/2013
PSP,AKB1/48: If I loved an Idol in Guam…,256.504,395.674,Bandai Namco,6/10/2011
PSP,AKB1/48: If I loved an Idol…,235.944,410.673,Bandai Namco,23/12/2010
3DS,AKB48 + Me,36.498,144.422,Kadokawa Games,25/10/2012
360,Alan Wake,16.053,21.886,Microsoft,27/05/2010
360,Alice: Madness Returns,10.419,14.964,Electronic Arts,21/07/2011
SFC,All Japan Grand Touring Car Championship,5.512,9.461,Banpresto,29/09/1995
PS1,All Japan Grand Touring Car Championship,8.389,8.389,Digital Frontier,18/06/1998
PS1,All Japan Grand Touring Car Championship: Max Rev.,12.28,12.28,Kaneko,28/02/1997
PS1,All Japan Grand Touring Car Championship: Reform,15.248,32.24,Kaneko,23/02/1996
SAT,All Japan Pro Wrestling Featuring Virtua,68.047,106.911,SEGA,23/10/1997
PS1,All Japan Pro Wrestling: Ouja no Kon,55.374,103.394,Human,8/4/1999
PS1,All Japan Woman Pro Wrestling: Joo Densetsu Yume no Taiko-Sen,7.116,7.116,TEN,23/07/1998
NDS,All Kamen Rider: Rider Generation,45.114,110.955,Bandai Namco,4/8/2011
NDS,All Kamen Rider: Rider Generation 2,20.667,62.106,Bandai Namco,2/8/2012
PSP,All Kamen Rider: Rider Generation 2,14.53,33.17,Bandai Namco,2/8/2012
3DS,All Kamen Rider: Rider Revolution,18.814,59.304,Bandai Namco,1/12/2016
PS2,All-Star Baseball 2002,9.116,33.739,Taito,4/10/2001
PS2,All-Star Pro Wrestling,88.669,185.618,Square,8/6/2000
PS2,All-Star Pro Wrestling II,92.796,153.505,Square,22/11/2001
PS2,All-Star Pro Wrestling III,26.23,50.798,Square Enix,7/8/2003
PS1,Alnam no Kiba: Shouzoku Juunishin-to Densetsu,22.663,31.106,Right Stuff,2/2/1996
PS3,Alone in the Dark,2.199,6.751,Electronic Arts,25/12/2008
3DO,Alone in the Dark 2,4.026,4.026,Electronic Arts,8/9/1995
PS1,Alundra,63.497,143.114,SCE,11/4/1997
PS1,Alundra 2: A New Legend Begins,5.771,5.771,SCE,18/11/1999
PS2,Amagami,47.762,93.554,Enterbrain,19/03/2009
PSV,Amagami,26.417,37.804,Kadokawa Games,30/01/2014
PSP,Amagami,89.672,151.595,Kadokawa Games,31/03/2011
PS2,Amagami [All Versions],47.762,125.638,Enterbrain,19/03/2009
PS2,Amagami [EBKore+],21.059,32.084,Kadokawa Games,31/03/2011
PSP,"Amagoushi no Yakata Portable: Ichiyagi Wa, 2-dome no Junan",,4.144,Nippon Ichi Software,17/12/2009
PS2,"Amagoushi no Yakata: Ichiyagi Wa, 2-dome no Junan",4.2,4.2,Nippon Ichi Software,6/3/2008
PSP,Amatsumi Sora ni! Kumo no Hatate ni,4.806,7.639,Prototype,16/02/2012
PSV,Amatsumi Sora ni! Kumo no Hatate ni,2.202,2.202,Prototype,17/09/2015
PSV,Amatsusumi,1.762,1.762,Prototype,17/05/2018
NGC,Amazing Island,,8.802,SEGA,15/01/2004
SAT,America Oudan Ultra-Quiz,9.158,9.158,Victor Entertainment,27/10/1995
PSP,Amnesia,18.279,48.294,Idea Factory,18/08/2011
PSP,Amnesia Crowd,28.245,38.289,Idea Factory,18/04/2013
PSP,Amnesia Later,17.252,39.93,Idea Factory,15/03/2012
PSV,Amnesia Later x Crowd: V Edition,4.943,4.943,Idea Factory,16/10/2014
PSP,Amnesia Twin Pack,,2.824,Idea Factory,15/03/2012
PSV,Amnesia World,13.701,17.206,Idea Factory,22/05/2014
PSV,Amnesia: Memories,2.367,3.108,Idea Factory,19/12/2013
XBX,Amped: Freestyle Snowboarding,3.561,10.261,Microsoft,22/02/2002
NDS,Anan Kanshu: Onna-Jikara Kinkyu Up! DS,1.896,1.896,Bandai Namco,26/07/2007
PS3,Anarchy Reigns,21.199,35.214,SEGA,5/7/2012
360,Anarchy Reigns,4.17,5.433,SEGA,5/7/2012
PS4,Anata no Shikihime Kyoudoutan,2.99,2.99,Nippon Ichi Software,8/3/2017
SWI,Anata no Shikihime Kyoudoutan,2.864,2.864,Nippon Ichi Software,8/3/2018
PSV,Anata no Shikihime Kyoudoutan,2.027,2.027,Nippon Ichi Software,8/3/2018
PSP,Anata o Yurusanai,7.502,17.341,AQ Interactive,15/11/2007
DC,"And I, We summer",5.452,5.452,KID,26/09/2002
WII,Ando Kensaku,1,12.71,Nintendo,29/04/2010
PS1,Angel Graffiti: Anathe no Profile,22.753,31.408,Coconuts Japan,26/07/1996
PS2,Angel Profile,1.232,1.232,GeneX,27/09/2007
PS2,Angel Wish: Kimi no Egao ni Chu!,1.956,1.956,Pionesoft,24/02/2005
XBX,Angelic Concert,1.246,1.907,Success,13/03/2003
PS1,Angelique Duet,18.177,18.177,Koei,30/07/1998
SAT,Angelique Duet,6.748,6.748,Koei,30/07/1998
PS2,Angelique Etoile,15.732,28.867,Koei,16/09/2004
PSV,Angelique Retour,10.18,10.18,Koei Tecmo,17/12/2015
PS1,Angelique Special 2,14.024,14.024,Koei,11/4/1997
PS2,Angelique Trois,21.368,26.769,Koei,22/11/2000
PS2,Angelique Trois: Aizouhen,4.8,4.8,Koei,26/07/2001
PSP,Angelique: Maren no Rokukishi,9.531,14.263,Idea Factory,17/11/2011
PS1,Angelique: Tenkuu no Requiem,26.382,42.274,Koei,4/2/1999
PS2,Angel's Feather: Kuro no Zanei,2.95,2.95,GN Software,30/06/2005
NGC,Animal Crossing,92.568,641.3,Nintendo,14/12/2001
NGC,Animal Crossing e+,91.658,386.258,Nintendo,27/06/2003
WIU,Animal Crossing: amiibo Festival,13.289,87.872,Nintendo,21/11/2015
WII,Animal Crossing: City Folk,303.204,1.221.459,Nintendo,20/11/2008
3DS,Animal Crossing: Happy Home Designer,516.381,1.544.983,Nintendo,30/07/2015
3DS,Animal Crossing: New Leaf,721.786,4.529.990,Nintendo,8/11/2012
3DS,Animal Crossing: New Leaf - Welcome amiibo,17.814,463.536,Nintendo,23/11/2016
3DS,Animal Crossing: New Leaf [All Versions],721.786,5.120.920,Nintendo,8/11/2012
3DS,Animal Crossing: New Leaf [Happy Price Selection],4.203,127.394,Nintendo,17/03/2016
NDS,Animal Crossing: Wild World,335.425,5.241.655,Nintendo,23/11/2005
N64,Animal Forest,36.263,213.984,Nintendo,14/04/2001
3DS,Animal Resort: Let's Make a Zoo,2.968,14.566,Marvelous Entertainment,19/05/2011
GBA,Animal Yokochou: Doki Doki Kyuushutsu Daisakusen! no Maki,13.616,13.616,Konami,22/12/2005
GBA,Animal Yokochou: Doki Doki Shinkyuu Shiken! no Kan,4.275,4.275,Konami,18/05/2006
PS1,Anime Chick Story 1: CardCaptor Sakura,,84.439,Arika,5/8/1999
PCX,Anime Freak FX Vol. 1,5.909,11.822,NEC,12/8/1995
WII,Anime Slot Revolution: Pachi-Slot Mobile Suit Gundam II - Ai Senshi-hen,1.6,1.6,Bandai Namco,27/12/2007
PSP,Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai.,9.83,14.364,5pb.,30/08/2012
PS2,Another Century's Episode,175.729,254.527,Banpresto,27/01/2005
PS2,Another Century's Episode 2,119.918,181.052,Banpresto,30/03/2006
PS2,Another Century's Episode 2: Special Vocal Version,4.9,4.9,Banpresto,29/11/2007
PS2,Another Century's Episode 3: The Final,156.693,237.041,Banpresto,6/9/2007
PSP,Another Century's Episode Portable,68.601,105.519,Bandai Namco,13/01/2011
PS3,Another Century's Episode: R,187.661,260.078,Bandai Namco,19/08/2010
NDS,Another Code,48.357,105.452,Nintendo,24/02/2005
WII,Another Code: R - A Journey Into Lost Memories,10.07,33.449,Nintendo,5/2/2009
PS1,Another Mind,16.763,22.007,Square,12/11/1998
NDS,Another Time Another Leaf: Detective in the Mirror,1.3,4.32,Arc System Works,23/04/2009
WII,Anpanman Niki Noki Party,,38.905,Agatsuma Entertainment,25/11/2010
NDS,Anpanman to Asobo: ABC Kyoushitsu,980,28.803,Agatsuma Entertainment,1/5/2008
NDS,Anpanman to Asobo: Aiueo Kyoushitsu,5.696,105.919,Agatsuma Entertainment,7/12/2006
NDS,Anpanman to Asobo: Aiueo Kyoushitsu DX,,105.049,Agatsuma Entertainment,17/12/2009
NDS,Anpanman to Touch: Waku Waku Training,3.686,79.659,Bandai Namco,3/9/2009
3DS,Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,19.306,51.662,Bandai Namco,24/03/2016
3DS,Ansatsu Kyoushitsu: Korosensei Daihouimou!!,24.457,111.856,Bandai Namco,12/3/2015
PS4,Anthem,81.2,206.081,Electronic Arts,22/02/2019
PSP,Ao no Exorcist: Genkoku no Labyrinth,11.825,23.411,Bandai Namco,26/04/2012
PSV,Ao no Kanata no Four Rhythm,9.878,9.878,Sprite,25/02/2016
PS4,Ao no Kanata no Four Rhythm: HD Edition,3.895,3.895,Sprite,26/01/2017
PS2,Aoi Sora no Neosphere: Nanoca Flanka Hatsumei Koubouki 2,4.505,4.505,Nippon Ichi Software,22/02/2007
PSP,Aoi Umi no Tristia 10th Anniversary Memorial Pack {Aoi Umi no Tristia Portable: Nanoca Flanka Hatsumei Koubouki \ Aoi Sora no Neosphere Portable: Nanoca Flanka Hatsumei Koubouki 2},1.462,1.462,CyberFront,9/8/2012
PS2,Aoi Umi no Tristia: Nanoca Flanka Hatsumei Koubouki,6.879,9.866,Nippon Ichi Software,11/8/2005
PS2,Aoishiro,5.667,6.756,Success,15/05/2008
NDS,Apathy: Narugami Gakuen Toshi Densetsu Tantei Kyoku,4.244,4.244,Arc System Works,25/10/2007
PS1,Ape Escape,70.683,293.566,SCE,24/06/1999
PS1,Ape Escape [All Versions],70.683,502.18,SCE,24/06/1999
PS1,Ape Escape [PlayStation the Best],,208.614,SCE,6/7/2000
PS2,Ape Escape 2,83.328,269.368,SCE,18/07/2002
PS2,Ape Escape 2 [All Versions],83.328,719.832,SCE,18/07/2002
PS2,Ape Escape 2 [PlayStation 2 the Best],,167.835,SCE,5/12/2002
PS2,Ape Escape 2 [PlayStation 2 the Best],1.849,57.397,SCE,10/3/2005
PS2,Ape Escape 2001,20.133,129.857,SCE,5/7/2001
PS2,Ape Escape 2001 [All Versions],20.133,138.879,SCE,5/7/2001
PS2,Ape Escape 2001 [PlayStation 2 the Best],3.061,9.022,SCE,3/10/2002
PS2,Ape Escape 3,92.646,212.721,SCE,14/07/2005
PS2,Ape Escape 3 [All Versions],92.646,280.723,SCE,14/07/2005
PS2,Ape Escape 3 [PlayStation 2 the Best],4.984,68.002,SCE,2/11/2005
PSP,Ape Escape: Academy,22.999,127.679,SCE,30/12/2004
PSP,Ape Escape: Academy 2,,49.072,SCE,15/12/2005
PSP,Ape Escape: Big Monkey Mission,12.703,74.785,SCE,26/07/2007
PSP,Ape Escape: Big Monkey Mission [All Versions],12.703,85.772,SCE,26/07/2007
PSP,Ape Escape: Big Monkey Mission [PSP the Best],,10.987,SCE,11/12/2008
PS2,Ape Escape: Million Monkeys,55.376,128.563,SCE,13/07/2006
PSP,Ape Escape: On the Loose,24.816,113.443,SCE,17/03/2005
PS2,Ape Escape: Pumped & Primed,37.457,122.963,SCE,1/7/2004
PSP,Ape Escape: Racer,9.595,63.563,SCE,7/12/2006
PSP,Ape Quest,15.992,45.851,SCE,19/03/2009
NDS,Apollo Justice: Ace Attorney,240.275,522.922,Capcom,12/4/2007
3DS,Apollo Justice: Ace Attorney,5.577,5.577,Capcom,22/11/2017
NDS,Apollo Justice: Ace Attorney [All Versions],240.275,666.387,Capcom,12/4/2007
NDS,Apollo Justice: Ace Attorney [New Best Price! 2000],6,143.465,Capcom,24/04/2008
PS1,Aquanaut's Holiday,78.683,213.664,Artdink,30/06/1995
PS1,Aquanaut's Holiday 2,9.706,9.706,Artdink,1/7/1999
PS3,Aquanaut's Holiday: Hidden Record,15.258,28.654,SCE,25/09/2008
PS1,Aquanaut's Holiday: Memories of Summer 1996,9.111,9.111,Artdink,19/07/1996
PS3,AquaPazza: AquaPlus Dream Match,28.806,39.128,Aqua Plus,30/08/2012
PS1,Aquarian Age: Tokyo Wars,13.828,13.828,Entertainment Software Publishing,25/05/2000
SAT,Aquazone Desktop Life,14.628,14.628,OPeNBooK9003,12/7/1996
360,Aquazone Life Simulator,766,1.527,Frontier Groove,14/09/2006
PSV,Ar Nosurge Plus: Ode to an Unborn Star,10.641,17.724,Gust,2/10/2014
PS3,Ar Nosurge: Ode to an Unborn Star,30.544,44.713,Gust,6/3/2014
PS2,Ar Tonelico II: Melody of Metafalica,68.104,96.393,Banpresto,25/10/2007
PS3,Ar Tonelico Qoga: Knell of Ar Ciel,85.776,108.741,Bandai Namco,28/01/2010
PS3,Ar Tonelico Qoga: Knell of Ar Ciel [All Versions],85.776,112.572,Bandai Namco,28/01/2010
PS3,Ar Tonelico Qoga: Knell of Ar Ciel [PlayStation 3 the Best],,3.831,Bandai Namco,4/8/2011
PS2,Ar Tonelico: Melody of Elemia,56.95,93.578,Banpresto,26/01/2006
PS2,Ar Tonelico: Melody of Elemia [All Versions],56.95,94.703,Banpresto,26/01/2006
PS2,Ar Tonelico: Melody of Elemia [PlayStation 2 the Best],1.125,1.125,Banpresto,7/12/2006
PSP,Arabians Doubt,4.538,5.454,QuinRose,30/01/2014
NDS,Arabians Lost,3.377,7.371,Prototype,10/9/2009
PS2,Arabians Lost: The Engagement on the Desert,8.002,8.002,Prototype,11/10/2007
PSP,Arabians Lost: The Engagement on the Desert,3.747,6.34,QuinRose,28/06/2012
PS4,Arc of the Alchemist,3.485,3.485,Compile Heart,7/2/2019
WII,Arc Rise Fantasia,28.044,44.863,Marvelous Entertainment,4/6/2009
WII,Arc Rise Fantasia [All Versions],28.044,58.283,Marvelous Entertainment,4/6/2009
WII,Arc Rise Fantasia [Wii Select],2.4,13.42,Marvelous Entertainment,25/02/2010
PS1,Arc the Lad,311.236,1.090.000,SCE,30/06/1995
PS1,Arc the Lad [PlayStation the Best],20.77,497.253,SCE,12/7/1996
PS1,Arc the Lad II,316.225,816.873,SCE,1/11/1996
PS1,Arc the Lad III,209.088,379.04,SCE,28/10/1999
PS2,Arc the Lad: End of Darkness,28.981,48.667,SCE,3/11/2004
WS,Arc the Lad: Kijin Fukkatsu,11.458,28.157,Bandai,4/7/2002
PS1,Arc the Lad: Monster Game with Casino Game,27.579,27.579,SCE,31/07/1997
PS2,Arc the Lad: Twilight of the Spirits,80.627,185.862,SCE,20/03/2003
PS3,Arcadias no Ikusahime,9.854,16.086,Nippon Ichi Software,26/09/2013
PSP,Arcana Famiglia 2,11.293,14.888,C-Territory,14/11/2013
PSP,Arcana Famiglia: Festa Regalo,3.077,7.471,Comfort,13/12/2012
